BANK,IFSC,BRANCH,ADDRESS,CONTACT,CITY,DISTRICT,STATE
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065063,DOMBIVLI (WEST),"JANKI HEIGHTS OPP. SHIV SENA SHAKA, DEENDAYAL ROAD, DOMBIVALI (WEST), DIS THANE 421202",2489860,THANE,DOMBIVLI,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065064,GOREGAON WEST,"SHOP NO.2,3,5 & 6A, VRINDAVAN CHS LTD., BUILDING NO.9, SHASTRI NAGAR ROAD NO.1, GOREGAON (W), MUMBAI 400 104.",28711793,GREATER BOMBAY,MUMBAI,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065065,JOGESHWARI (E),"BAL VIKAS SCHOOL BUILDING, GROUND FLOOR, MHADA COLONY, SARVODAYA NAGAR, JOGESHWARI (E), MUMBAI 400 060",28320628,GREATER BOMBAY,MUMBAI,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065066,KALYAN (E),"KHUSHI HEIGHTS, POONA LINK ROAD, OPP. NITIN RAJ HOTEL, KATEMANIVALI, KALYAN (E), DIST. THANE - 421 306.",2362365,THANE,KALYAN,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065067,DIVA (E),"SHREE KRISHNA PARK, NEAR SHIV SENA SHAKA, DIVA (E), DIST. THANE - 400 612.",25318101,THANE,THANE,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065068,ANJUR PHATA,"SOM SHIV PLAZA, ANJUR PHATA, KAMATGHAR, AGRA ROAD, BHIWANDI - 421 302.",278055,THANE,BHIWANDI,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065069,MARVE LINK ROAD,"SHOP NO. S-109, RAJIV GANDHI COMMERCIAL COMPLEX, EKTA NAGAR, CHARKOP MARVE LINK ROAD, KANDIVLI (W), MUMBAI - 400 067",28680471,GREATER BOMBAY,MUMBAI,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065070,LOWER PAREL,"BLOCK NO.12, GROUND FLOOR, DHANRAJ MILL COMPOUND, SITARAM JADHAV MARG, LOWER PAREL, MUMBAI - 400 013.",28680471,GREATER BOMBAY,MUMBAI,MUMBAI
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065071,LALBAUG,"SHOP NO. 6, 7, 8 & 9, GROUND FLOOR, ""TAMBAWALA BUILDING NO.1"", 205, KALACHOWKY ROAD, D. L. MARG, LALBAUG, MUMBAI - 400 012",23742274,GREATER BOMBAY,MUMBAI,MUMBAI
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065072,VIKHROLI (EAST),"SHOP NO. 3, B WING, BUILDING NO. 87, ""KANNAMWAR NAGAR RAIGAD CO-OP. HSG. SOC. LTD., KANNAMWAR NAGAR, VIKHROLI (E), MUMBAI - 400 083",25791070,GREATER BOMBAY,MUMBAI,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065073,VIKHROLI W,"SHOP NO.1, MAYFIAR SYMPHONY SPRING, PARKSITE, GODREJ, HIRANANDANI LINK RD., VIKHROLI WEST, MUMBAI 400079",25174388,GREATER BOMBAY,MUMBAI,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065074,KAUSA MUMBRA,"VIRANI BUSINESS CENTRE, SHOP NO. 1,2,3,4, PLOT NO. 96 BY 2, OPP BHARAT GEARS CO., KAUSA, DIST-THANE- 400612",25495095,THANE,THANE,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065075,ULWE,"SHOP NO. 1,2,3 PRATHMESH PRIDE, PLOT NO. 06, SECTOR 19, ULWE, TAL  PANVEL, DIST RAIGAD  410206",0,RAIGAD,PANVEL,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065076,KURLA (W),"SHOP NO. 1 AND 2, SANGHAVI PALACE, BELGRAMI ROAD, KURLA W, MUMBAI - 400070",26503002,GREATER BOMBAY,MUMBAI,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065077,PEN,"SHOP NO.4 AND 6, REDWOOD CITY PLAZA, PLOT NO. C 13, SURVEY NO 242B, ICE FACTORY, PEN 402107.",24140961,RAIGAD,PEN,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065102,NANA PETH,"355, NANA PETH, PUNE-411002",26356923,PUNE,PUNE,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065103,LAXMI ROAD,"867, BUDHWAR PETH, LAXMI ROAD, PUNE-411002",24470805,PUNE,PUNE,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065104,YERWADA,"OM MAHAVIR CHS, SHOP NO. D1-2-3, SURVEY NO. 1-A, PUNE NAGAR RD., YERWADA, PUNE-411006",26613493,PUNE,PUNE,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065105,PIMPRI,"SUNSHINE MARKS, CTS NO.4840, MUMBAI-PUNE RD, OPP B AMBEDKAR STATUE, PIMPRI, PUNE-411018",27426288,PUNE,PUNE,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065106,PAUD PHATA,"MANGALAM CHAMBERS, ERANDWANA, PAUD ROAD, PUNE-411038",25446729,PUNE,PUNE,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065107,BANER ROAD,"TEJAS ETERNITY, S. NO. 134, H. NO.5,6/1, BANER BALEWADI RD, BANER, PUNE 411045",27290321,PUNE,PUNE,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065108,DHANKAWADI,"SHIVSMARAK SAMITI, PUNE-SATARA ROAD,DHANKWADI, PUNE-411037",24377083,PUNE,PUNE,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065109,WAGHOLI,"620, PUNE NAGAR ROAD, WAGHOLI, TAL.HAVELI, PUNE-412207",27051700,PUNE,PUNE,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065110,SINHAGAD ROAD,"SHOWROOM NO. 1 AND 3, SUNIT RIDDHI BLDG, PLOT NO. 2B, FINAL PLOT NO. 545, S. NO. 120A, 120B, PARVATI, SINHAGAD RD, PUNE 411030",24308301,PUNE,PUNE,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065111,DECCAN GYMKHANA,"AMIT SAMRUDDHI, OFF. J.M.ROAD, SHIVAJI NAGAR, PUNE-411004",25513670,PUNE,PUNE,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065112,NAGPUR,"BHAGVAN HOUSE, GROUND FLOOR, WARDHA ROAD, WARDHA ROAD, NAGPUR WARDHA ROAD, NAGPUR",22244715,NAGPUR,NAGPUR,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065113,AURANGABAD,"AMDANI CHAMBERS, GROUND FLOOR, NEW GULMANDI ROAD, DALAL WADI, AURANGABAD- 431 001.",2346043,AURANGABAD,AURANGABAD,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065114,KANKAVLI,"3/16, A-1-B, GROUND FLOOR, HISSA NO.29, SURVEY NO.204, MUMABAI GOA HIGHWAY, AT AND POST - KANKAVLI, DIST - SINDHUDURG 416602",231160,SINDHUDURG,KANKAVLI,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065115,NASHIK,"SHOP NO. 3 & 4 & OFFICE NO.4,5 & 6 LUCKY PALACE APARTMENTS, CANARA CORNER, SHARANPUR TRIMBAK ROAD, NASHIK 422 005",2232031,NASIK,NASHIK,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065116,CHAKAN BRANCH,"ANAND BUILDING, MAIN BAZAR PETH, NEAR CHAKAN S.T. STAND, OLD PUNE NASHIK ROAD, CHAKAN, DIST PUNE 410 501",252001,PUNE,CHAKAN,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065117,AMBAD,"SHO NO.1-5, LOTUS PLAZA, TRIMURTI CHOWK, AMBAD-LINK ROAD, CIDCO, NEW NASHIK NASHIK-422008",2399714,NASIK,NASHIK,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065118,NASHIK ROAD,"RAJAN COMPLEX, DATTA MANDIR STOP, NASHIK-PUNE HIGHWAY, NASHIK 422 101",2459921,NASIK,NASHIK,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065119,GARKHEDA,"SHOP NO.1 & 2, MALANI CHAMBERS, PLOT NO.5, SHIVAJI NAGAR ROAD, GARKHEDA, AURANGABAD 431005",2405659,AURANGABAD,AURANGABAD,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065120,ASHOK NAGAR,"GROUND FLOOR, 69, ASHOKNAGAR, WORKSHOP-BHAGYANAGAR ROAD, NANDED, DIST NANDED - 431605",254030,NANDED,NANDED,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065121,C.A. ROAD,"GANDHI GRAIN MARKET, OLD BAGADGANJ LAYOUT, CHAPRU CHOWK, CENTRAL AVENUE ROAD, NAGPUR - 440 008.",2739918,NAGPUR,NAGPUR,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065122,DABHADE TALEGAON,"AMBIKA CORNER APARTMENT, PLOT NO. 6 & 7, LAXMIBAUG COLONY, TALEGAON DABHADE TAL. MAWAL, DIST. PUNE - 410506",224460,PUNE,TALEGAONDABHADE,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065123,SAMRAT NAGAR,"PLOT NO. 10, 11, 12(D), THE NANDED TOWN MARKET AREA, SAMRAT NAGAR, NEAR ANNABHAU SATHE CHOWK, NANDED - 431 602.",284030,NANDED,NANDED,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065124,INDIRA NAGAR,"GROUND FLOOR, MADHUSUDAN PARK, C BUILDING, WADALA PATHARDI ROAD, INDIRA NAGAR, NASHIK - 422 009",2329560,NASIK,NASHIK,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065125,PANCHAVATI,"4614, LAXMI RESIDENCY, PETH ROAD, PANCHAVATI, NASHIK - 422 003.",2629916,NASIK,NASHIK,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065126,AHMEDNAGAR,"SAI MIDAS TOUCH, SHOP NO. 7 AND 8, PLOT NO. 101 SLASH 86, NAGAR MANMAD ROAD, SAVEDI ROAD, AHMEDNAGAR 414003",2356588,AHMEDNAGAR,AHMEDNAGAR,MAHARASHTRA
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065201,MANDVI,"SHREE KRISHNA BHAVAN, NEAR CHAMPANER GATE,  3259 BANK ROAD, VADODARA 390006,",2424149,VADODARA,VADODARA,GUJARAT
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065202,MITHAKHALI,"JAYMANGAL HOUSE, BLOCK B, NEAR GANDHIGRAM RLY, STATION, ELLISBRIDGE, AHMEDABAD- 380 009.",26589676,AHMEDABAD,AHMEDABAD,GUJARAT
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065203,MANEKCHOWK,"DAHINI KHADKI, MANEKCHOWK, AHMEDABAD- 380 221.",22143710,AHMEDABAD,AHMEDABAD,GUJARAT
